Response ID,Faculty,Subject Knowledge,Regularity & Punctuality,Communication Skills,Syllabus Coverage,Interest Generated in Subject,Faculty Preparation,Overall Acceptance,Subject
RESP-336,D,5,4,5,5,4,5,5,ML
RESP-337,D,4,3,3,4,3,3,4,ML
RESP-338,D,3,3,3,3,3,1,3,ML
RESP-339,D,5,4,4,5,4,4,4,ML
RESP-340,D,4,4,4,4,4,4,4,ML
RESP-341,D,4,4,4,3,3,4,4,ML
RESP-342,D,5,5,5,4,4,5,5,ML
RESP-343,D,5,5,5,5,5,5,5,ML
RESP-344,D,4,3,4,3,3,3,4,ML
RESP-345,D,4,4,4,4,4,4,4,ML
RESP-346,D,5,5,5,5,5,5,5,ML
RESP-347,D,3,3,3,3,2,3,3,ML
RESP-348,D,3,1,1,1,1,1,2,ML
RESP-349,D,5,2,2,2,3,5,3,ML
RESP-350,D,1,1,1,1,1,1,1,ML
RESP-351,D,5,5,5,5,5,5,5,ML
RESP-352,D,5,5,5,5,5,5,5,ML
RESP-353,D,4,4,4,4,4,4,4,ML
RESP-354,D,5,5,5,5,5,5,5,ML
RESP-355,D,5,5,5,5,5,5,5,ML
RESP-356,D,1,1,1,1,1,1,1,ML
RESP-357,D,4,4,3,3,3,3,3,ML
RESP-358,D,4,4,4,4,4,4,4,ML
RESP-359,D,5,5,5,5,5,5,5,ML
RESP-360,D,4,4,4,4,4,4,4,ML
RESP-361,D,4,3,4,3,4,3,4,ML
RESP-362,D,5,5,5,5,5,5,5,ML
RESP-363,D,5,5,5,5,5,5,5,ML
RESP-364,D,4,4,4,4,4,4,4,ML
RESP-365,D,4,3,4,4,3,4,4,DC
RESP-366,D,5,5,5,5,5,5,5,DC
RESP-367,D,5,5,5,5,5,5,5,DC
RESP-368,D,2,2,2,2,2,2,2,DC
RESP-369,D,5,5,5,5,5,5,5,DC
RESP-370,D,5,4,3,5,3,5,4,DC
RESP-371,D,5,5,5,5,5,5,5,DC
RESP-372,D,4,4,4,4,4,4,4,DC
RESP-373,D,5,5,5,5,5,5,5,DC
RESP-374,D,5,4,4,5,4,5,4,DC
RESP-375,D,5,5,5,5,5,5,5,DC
RESP-376,D,5,5,5,5,5,5,5,DC
RESP-377,D,4,4,3,2,3,3,3,DC
RESP-378,D,4,5,4,5,5,4,4,DC
RESP-379,D,5,5,5,5,5,5,5,DC
RESP-380,D,3,1,4,4,3,3,4,DC
RESP-381,D,5,5,4,5,4,4,3,DC
RESP-382,D,5,5,5,5,5,5,5,DC
RESP-383,D,4,5,2,3,1,3,4,DC
RESP-384,D,4,4,4,4,4,4,4,DC
RESP-385,D,1,1,1,1,1,1,1,DC
RESP-386,D,3,4,3,3,3,3,3,DC
RESP-387,D,4,4,4,4,4,4,4,DC
RESP-388,D,5,5,5,5,5,5,5,DC
RESP-389,D,5,5,5,5,5,5,5,DC
RESP-390,D,1,1,1,1,1,1,1,DC
RESP-391,D,5,5,5,5,5,5,5,DC
RESP-392,D,5,5,5,5,5,5,5,DC
RESP-393,D,4,4,4,4,4,4,4,DC
RESP-394,D,5,5,5,5,5,5,5,DC
RESP-395,D,3,4,3,5,4,4,4,DC
RESP-396,D,4,3,4,3,3,3,3,DC
RESP-397,D,4,5,4,5,4,5,4,DC
RESP-398,D,5,5,5,5,5,5,5,DC
RESP-399,D,5,5,5,5,5,5,5,DC
RESP-400,D,5,5,5,5,5,5,5,DC
RESP-401,D,4,4,4,4,4,4,4,DC
RESP-402,D,5,5,5,5,5,5,5,DC
RESP-403,D,4,5,5,5,4,4,4,DC
RESP-404,D,4,4,4,4,4,4,4,DC
RESP-405,E,4,2,4,1,1,4,3,DC
RESP-406,E,4,4,4,4,4,4,4,DC
RESP-407,E,5,5,5,5,5,5,5,DC
RESP-408,E,5,5,5,5,5,5,5,DC
RESP-409,E,5,5,5,5,5,5,5,DC
RESP-410,E,4,4,4,4,4,4,4,DC
RESP-411,E,5,5,5,5,5,5,5,DC
RESP-412,E,5,5,5,5,5,5,5,DC
RESP-413,E,5,4,5,5,4,5,5,DC
RESP-414,E,5,4,4,4,4,4,4,DC
RESP-415,E,3,4,3,5,4,4,4,DC
RESP-416,E,5,5,5,5,5,5,5,DC
RESP-417,E,5,5,5,5,5,5,5,DC
RESP-418,E,4,4,3,4,4,4,4,DC
RESP-419,E,3,4,4,3,3,3,3,DC
RESP-420,E,5,5,5,5,5,5,5,DC
RESP-421,E,5,5,5,5,5,5,5,DC
RESP-422,E,5,5,5,5,5,5,5,BCT
RESP-423,E,5,5,5,5,5,5,5,BCT
RESP-424,E,4,5,5,5,4,4,5,BCT
RESP-425,E,5,5,,5,5,5,5,BCT
RESP-426,E,5,5,5,5,5,5,5,BCT
RESP-427,E,5,5,5,5,5,5,5,BCT
RESP-428,E,4,4,4,4,4,4,4,BCT
RESP-429,E,5,5,5,5,5,5,5,BCT
RESP-430,E,5,5,5,5,5,5,5,BCT
RESP-431,E,5,4,4,4,4,5,4,BCT
RESP-432,E,5,5,5,5,5,5,5,BCT
RESP-433,E,3,3,3,3,3,3,3,BCT
RESP-434,E,5,5,5,5,5,5,5,BCT
RESP-435,E,5,5,5,5,5,5,5,BCT
RESP-436,E,5,5,5,5,5,5,5,BCT
RESP-437,E,5,5,5,5,5,5,5,BCT
RESP-438,E,4,4,3,4,4,4,4,BCT
RESP-439,E,5,5,5,5,5,5,5,BCT
RESP-440,E,5,5,4,5,4,4,4,BCT
RESP-441,E,5,5,5,5,5,5,5,BCT
RESP-442,E,4,4,3,3,4,4,4,BCT
RESP-443,E,5,5,5,5,5,5,5,BCT
RESP-444,E,5,5,5,5,5,5,5,BCT
RESP-445,E,5,5,5,5,5,5,5,BCT
RESP-446,E,5,5,5,5,5,5,5,BCT
RESP-447,E,5,5,5,5,5,5,5,BCT
RESP-448,E,4,4,3,3,3,3,3,BCT
RESP-449,E,5,5,5,5,5,5,5,BCT
RESP-450,E,5,5,5,5,5,5,5,BCT
RESP-451,E,4,5,5,5,5,5,5,BCT
RESP-452,E,5,5,5,5,5,5,5,BCT
RESP-453,E,5,5,5,5,5,5,5,BCT
RESP-454,E,5,5,5,5,5,5,5,BCT
RESP-455,E,1,1,1,1,1,1,1,BCT
RESP-456,E,5,5,5,5,5,5,5,BCT
RESP-457,E,4,4,4,5,5,5,5,BCT
RESP-458,E,4,4,4,4,4,4,4,BCT
RESP-459,E,4,4,4,4,4,4,4,BCT
RESP-460,E,4,4,4,5,5,5,5,BCT
RESP-461,E,5,5,4,4,5,5,4,BCT
RESP-462,E,5,5,5,5,5,5,5,BCT
RESP-463,E,5,5,5,5,5,5,5,BCT
RESP-464,E,5,5,5,5,5,5,5,BCT
RESP-465,E,5,5,5,5,5,5,5,BCT
RESP-466,E,5,5,5,5,5,5,5,BCT
RESP-467,E,5,5,5,5,5,5,5,BCT
RESP-468,E,4,4,3,1,3,4,3,BCT
RESP-469,E,5,5,5,5,5,5,5,BCT
RESP-470,E,5,5,5,5,5,5,5,BCT
RESP-471,E,5,5,5,5,5,5,5,BCT
RESP-472,E,5,5,5,5,5,5,5,BCT
RESP-473,E,4,5,5,5,3,5,5,BCT
RESP-474,E,5,5,5,5,5,5,5,BCT
RESP-475,E,4,4,4,4,4,4,4,BCT
RESP-476,E,4,4,4,4,3,4,4,BCT
RESP-477,E,5,5,5,5,5,5,5,BCT
RESP-478,E,5,5,5,5,5,5,5,BCT
RESP-479,E,5,5,5,5,5,5,5,BCT
RESP-480,E,5,,4,,3,4,5,BCT
RESP-481,E,5,5,5,5,5,5,5,BCT
RESP-482,E,4,5,4,5,4,4,4,BCT
RESP-483,E,5,5,4,5,5,5,5,BCT
RESP-484,E,3,3,3,3,3,3,3,BCT
RESP-485,E,5,5,5,5,5,5,5,BCT
RESP-486,E,4,4,4,4,4,4,4,BCT
RESP-487,E,5,5,5,5,5,5,5,BCT
RESP-488,E,5,5,5,5,5,5,5,BCT
RESP-489,E,3,3,3,3,3,3,3,BCT
RESP-490,E,5,5,5,5,5,5,5,BCT
RESP-491,E,5,5,5,5,5,5,5,BCT
RESP-492,E,4,4,4,5,4,5,4,BCT
RESP-493,E,5,5,5,5,5,5,5,BCT
RESP-494,E,5,5,5,5,5,5,5,BCT
RESP-495,E,5,5,5,5,5,5,5,BCT
RESP-496,E,4,5,4,5,4,5,4,BCT
RESP-497,E,5,5,5,5,5,5,5,BCT
RESP-498,E,5,5,5,5,5,5,5,BCT
RESP-499,E,5,5,5,5,5,5,5,BCT
RESP-500,E,5,5,5,5,,5,5,BCT
RESP-501,E,5,5,5,5,5,5,5,BCT
RESP-502,E,5,5,5,5,5,5,5,BCT
RESP-503,F,4,4,3,1,1,4,3,NLP
RESP-504,F,4,4,4,4,4,4,4,NLP
RESP-505,F,3,3,3,3,3,3,3,NLP
RESP-506,F,5,5,5,5,5,5,5,NLP
RESP-507,F,4,5,4,4,4,4,4,NLP
RESP-508,F,3,3,3,3,3,3,3,NLP
RESP-509,F,5,5,5,5,5,5,5,NLP
RESP-510,F,5,5,5,5,5,5,5,NLP
RESP-511,F,5,4,5,5,4,5,4,NLP
RESP-512,F,4,4,5,4,3,3,4,NLP
RESP-513,F,3,3,3,3,3,3,3,NLP
RESP-514,F,5,5,5,5,5,5,5,NLP
RESP-515,F,3,3,2,1,2,2,3,NLP
RESP-516,F,4,4,4,4,4,4,4,NLP
RESP-517,F,2,3,2,2,2,3,2,NLP
RESP-518,F,4,3,3,4,3,3,3,NLP
RESP-519,F,5,5,5,5,5,5,5,NLP
RESP-520,F,3,3,3,3,2,3,3,NLP
RESP-521,F,5,,5,5,5,5,5,NLP
RESP-522,F,4,4,3,3,3,4,3,NLP
RESP-523,F,3,3,3,3,3,3,3,NLP
RESP-524,F,5,5,5,5,5,5,5,NLP
RESP-525,F,5,5,5,5,5,5,5,NLP
RESP-526,F,1,1,1,1,1,1,1,NLP
RESP-527,F,5,5,5,5,5,5,5,NLP
RESP-528,F,5,5,5,5,5,5,5,NLP
RESP-529,F,4,3,3,3,3,4,3,NLP
RESP-530,F,5,5,5,5,4,5,5,NLP
RESP-531,F,3,3,3,3,3,3,3,NLP
RESP-532,F,3,3,3,3,3,3,3,NLP
RESP-533,F,5,5,5,5,5,5,5,NLP
RESP-534,F,5,5,5,5,5,5,5,NLP
RESP-535,F,5,5,4,5,4,4,4,NLP
RESP-536,F,3,4,3,3,3,3,3,NLP
RESP-537,F,2,2,2,2,2,2,2,NLP
RESP-538,F,5,5,5,5,5,5,5,NLP
RESP-539,F,4,4,3,3,3,4,3,NLP
RESP-540,F,4,4,3,4,3,4,3,NLP
RESP-541,F,5,5,5,5,4,5,4,NLP
RESP-542,F,5,5,5,5,5,5,5,NLP
RESP-543,F,3,3,3,3,3,3,3,NLP
RESP-544,F,4,4,4,4,4,4,4,NLP
RESP-545,F,2,2,2,2,1,2,1,NLP
RESP-546,F,5,5,5,5,5,5,5,NLP
RESP-547,F,3,3,3,3,3,3,3,NLP
RESP-548,F,2,2,2,2,2,2,2,NLP
RESP-549,F,1,1,1,1,1,1,1,NLP
RESP-550,F,5,5,5,5,5,5,5,NLP
RESP-551,F,4,4,4,4,4,4,4,NLP
RESP-552,F,4,4,5,5,5,4,4,NLP
RESP-553,F,1,1,1,1,1,1,1,NLP
RESP-554,F,1,1,1,1,1,1,1,NLP
RESP-555,F,4,4,4,4,4,4,4,NLP
RESP-556,F,4,4,4,4,4,4,4,NLP
RESP-557,F,3,3,3,3,3,3,3,NLP
RESP-558,F,4,4,4,4,4,4,4,NLP
RESP-559,F,2,2,1,1,2,2,1,NLP
RESP-560,F,5,5,5,5,5,5,5,NLP
RESP-561,F,5,5,5,5,5,5,5,NLP
RESP-562,F,4,4,4,4,4,4,4,NLP
RESP-563,F,4,4,4,4,3,4,4,NLP
RESP-564,F,5,5,5,5,5,5,5,NLP
RESP-565,F,4,4,4,4,4,4,4,NLP
RESP-566,F,2,2,2,2,2,2,2,NLP
RESP-567,F,5,5,5,5,5,5,,NLP
RESP-568,F,1,1,1,1,1,,1,NLP
RESP-569,F,5,5,5,5,5,5,5,NLP
RESP-570,F,4,4,4,4,4,4,4,NLP
RESP-571,F,4,4,4,4,4,4,4,NLP
RESP-572,F,4,4,4,3,2,4,3,NLP
RESP-573,F,2,3,2,3,2,3,2,NLP
RESP-574,F,4,4,4,4,4,4,4,NLP
RESP-575,F,5,5,5,5,5,5,5,NLP
RESP-576,F,5,5,5,5,5,5,5,NLP
RESP-577,F,2,1,2,3,2,2,1,NLP
RESP-578,F,5,5,5,5,5,5,5,NLP
RESP-579,F,5,5,5,5,4,5,5,NLP
RESP-580,F,3,4,3,4,3,3,3,NLP
RESP-581,F,1,1,1,1,1,1,1,NLP
RESP-582,F,4,4,4,4,4,4,4,CC
RESP-583,F,4,4,4,4,4,4,4,CC
RESP-584,F,5,5,5,5,5,5,5,CC
RESP-585,F,5,5,5,5,5,5,5,CC
RESP-586,F,3,3,3,3,3,3,3,CC
RESP-587,F,5,4,5,4,5,4,5,CC
RESP-588,F,5,5,5,5,5,5,5,CC
RESP-589,F,4,4,4,4,4,4,,CC
RESP-590,F,4,4,4,4,4,4,4,CC
RESP-591,F,4,4,4,4,4,4,4,CC
RESP-592,F,5,4,4,4,4,4,5,CC
RESP-593,F,4,5,4,5,4,5,4,CC
RESP-594,F,4,4,4,4,4,4,4,CC
RESP-595,F,4,4,4,4,4,4,4,CC
RESP-596,F,4,5,4,4,5,5,5,CC
RESP-597,F,4,4,3,2,3,3,3,CC
RESP-598,F,4,4,4,5,4,5,4,CC
RESP-599,F,3,3,3,3,3,3,3,CC
RESP-600,G,4,4,4,4,4,4,4,CC
RESP-601,G,4,4,4,4,4,5,4,CC
RESP-602,G,5,5,5,5,5,5,5,CC
RESP-603,G,5,5,5,5,5,5,5,CC
RESP-604,G,5,5,5,5,5,5,5,CC
RESP-605,G,5,5,5,5,5,5,5,CC
RESP-606,G,5,4,5,4,5,4,4,CC
RESP-607,G,5,5,5,5,5,5,5,CC
RESP-608,G,4,4,4,4,4,4,4,CC
RESP-609,G,5,5,5,5,5,5,5,CC
RESP-610,G,5,5,5,5,5,5,5,CC
RESP-611,G,5,5,5,5,5,5,5,CC
RESP-612,G,5,5,5,5,5,5,5,CC
RESP-613,G,5,5,5,5,5,5,5,CC
RESP-614,G,5,5,5,5,5,5,5,CC
RESP-615,G,5,5,5,5,5,5,5,CC
RESP-616,G,5,5,5,5,5,5,5,CC
RESP-617,G,5,4,4,4,4,4,4,CC
RESP-618,G,5,5,5,5,5,5,5,CC
RESP-619,G,4,5,5,4,4,4,4,CC
RESP-620,G,5,5,5,5,5,5,5,CC
RESP-621,G,5,5,5,5,5,5,5,CC
RESP-622,G,5,5,5,5,5,5,5,CC
RESP-623,G,5,5,5,5,5,5,5,CC
RESP-624,G,3,3,3,3,3,3,3,CC
RESP-625,G,5,5,5,5,5,5,5,CC
RESP-626,G,5,5,5,5,5,5,5,CC
RESP-627,G,5,5,5,5,5,5,5,CC
RESP-628,G,5,5,5,5,5,5,5,CC
RESP-629,G,5,5,5,5,5,5,5,CC
RESP-630,G,5,5,5,5,5,5,5,CC
RESP-631,G,5,5,5,5,5,5,5,CC
RESP-632,G,5,5,5,5,4,4,4,CC
RESP-633,G,5,5,5,5,5,5,5,CC
RESP-634,G,5,5,5,5,5,5,5,CC
RESP-635,G,5,5,5,5,5,5,5,CC
RESP-636,G,5,5,5,5,5,5,5,CC
RESP-637,G,5,3,3,5,5,5,5,CC
RESP-638,G,5,5,5,5,5,5,5,CC
RESP-639,G,4,4,4,4,4,4,4,CC
RESP-640,G,5,4,5,5,5,4,5,CC
RESP-641,G,5,5,5,5,5,5,5,CC
RESP-642,G,4,4,4,4,4,4,4,CC
RESP-643,G,5,5,5,5,5,5,5,CC
RESP-644,G,5,5,5,5,5,5,5,DAA
RESP-645,G,5,5,5,5,5,5,5,DAA
RESP-646,H,4,4,4,4,4,4,4,DAA
RESP-647,H,5,5,5,5,5,5,5,DAA
RESP-648,H,5,5,5,5,5,5,5,DAA
RESP-649,H,5,4,4,4,4,4,4,DAA
RESP-650,H,4,4,4,4,4,4,4,DAA
RESP-651,H,5,5,5,5,5,5,5,DAA
RESP-652,H,5,5,5,5,5,5,5,DAA
RESP-653,H,5,5,5,5,5,5,5,DAA
RESP-654,H,5,5,5,5,5,5,5,DAA
RESP-655,H,5,5,5,5,5,5,5,DAA
RESP-656,H,5,5,5,5,5,5,5,DAA
RESP-657,H,4,4,4,4,4,4,4,DAA
RESP-658,H,4,4,3,3,4,4,3,DAA
RESP-659,H,5,5,5,5,5,5,5,DAA
RESP-660,H,4,4,4,4,4,4,4,DAA
RESP-661,H,4,4,5,4,5,5,5,DAA
RESP-662,H,4,4,4,4,4,4,4,DAA
RESP-663,H,5,5,5,5,5,5,5,DAA
RESP-664,H,5,4,5,4,,5,5,DAA
RESP-665,H,4,5,5,5,5,4,4,DAA
RESP-666,H,5,5,5,5,5,5,5,DAA
RESP-667,H,5,5,5,5,5,5,5,DAA
RESP-668,H,5,3,4,4,4,4,4,DAA
RESP-669,H,5,5,5,5,5,5,5,DAA
RESP-670,H,5,5,5,5,5,5,5,DAA
RESP-671,H,4,4,4,4,4,4,4,DAA
RESP-672,H,5,5,5,5,5,5,5,DAA
RESP-673,H,5,5,5,5,5,5,5,DAA
RESP-674,H,5,5,5,5,5,5,5,DAA
RESP-675,H,5,5,5,5,5,5,5,DAA
RESP-676,H,4,4,4,4,4,4,4,DAA
RESP-677,H,5,4,5,5,5,4,5,DAA
RESP-678,H,5,5,5,4,3,5,4,DAA